,India,"China, People's Republic of","Korea, Republic of",France,Nigeria,Philippines,Vietnam,Brazil,Iran,Japan,date,year
0,1290,3430,1225,795,495,95,180,515,130,385,01-01-2015,2015-01
1,565,2470,1020,275,255,125,135,345,105,275,01-02-2015,2015-02
2,775,2045,900,260,225,95,120,290,80,505,01-03-2015,2015-03
3,2145,2575,965,270,420,150,145,375,100,930,01-04-2015,2015-04
4,1625,3445,880,320,380,155,145,265,100,470,01-05-2015,2015-05
5,745,4480,1065,350,285,175,190,340,120,295,01-06-2015,2015-06
6,2220,9670,2135,1125,600,185,360,500,280,480,01-07-2015,2015-07
7,9435,18800,2650,6105,1455,310,640,1830,565,1285,01-08-2015,2015-08
8,3605,9510,1945,1415,1045,210,395,1080,410,955,01-09-2015,2015-09
9,895,4150,950,370,355,140,195,295,125,265,01-10-2015,2015-10
10,1605,3645,855,310,370,135,200,270,120,225,01-11-2015,2015-11
11,7600,4280,1305,575,735,175,300,535,275,235,01-12-2015,2015-12
12,1920,4860,1610,770,745,175,250,715,190,505,01-01-2016,2016-01
13,1255,4140,1275,390,340,190,290,435,185,430,01-02-2016,2016-02
14,1235,3365,1145,335,305,180,210,415,115,600,01-03-2016,2016-03
15,3155,4005,1100,380,375,200,255,480,155,980,01-04-2016,2016-04
16,2450,7910,1475,455,480,330,360,470,190,505,01-05-2016,2016-05
17,1865,9305,1570,590,555,305,425,530,215,500,01-06-2016,2016-06
18,2090,5970,1570,585,455,185,375,495,190,385,01-07-2016,2016-07
19,12605,18625,2440,5620,1120,405,1175,1630,590,1280,01-08-2016,2016-08
20,6115,9105,1725,1700,930,340,540,1005,540,1005,01-09-2016,2016-09
21,1570,5200,1075,430,345,245,410,355,195,345,01-10-2016,2016-10
22,3765,3955,905,380,440,210,345,385,205,235,01-11-2016,2016-11
23,15480,4425,1415,555,495,290,885,850,350,260,01-12-2016,2016-12
24,3355,3780,1390,815,475,215,510,810,250,420,01-01-2017,2017-01
25,1135,3145,1110,290,220,145,445,485,145,345,01-02-2017,2017-02
26,2310,2670,1105,285,305,145,355,485,150,520,01-03-2017,2017-03
27,6305,2820,925,280,300,165,590,515,240,930,01-04-2017,2017-04
28,5695,5535,1080,415,360,200,425,475,205,365,01-05-2017,2017-05
29,1815,7340,1255,315,315,160,480,560,220,395,01-06-2017,2017-06
30,3930,10300,1795,695,530,230,565,720,315,460,01-07-2017,2017-07
31,19950,24780,3740,6490,1190,535,3515,2365,1160,1630,01-08-2017,2017-08
32,7485,12065,2205,2125,1095,315,1165,1245,990,935,01-09-2017,2017-09
33,2535,7175,1125,695,490,220,670,500,385,400,01-10-2017,2017-10
34,5125,3835,880,520,425,215,445,540,300,240,01-11-2017,2017-11
35,24685,4025,1445,670,610,380,965,895,515,230,01-12-2017,2017-12
36,6920,4580,1695,1015,560,305,620,995,335,495,01-01-2018,2018-01
37,2055,3285,1090,280,265,160,470,545,190,405,01-02-2018,2018-02
38,5000,2860,1015,290,245,175,405,480,185,620,01-03-2018,2018-03
39,14745,6015,1200,420,480,360,1140,740,345,915,01-04-2018,2018-04
40,4490,9240,1450,425,485,255,750,725,370,500,01-05-2018,2018-05
41,4720,12175,1840,515,585,305,1145,805,470,440,01-06-2018,2018-06
42,6675,7870,1740,805,555,260,965,795,440,350,01-07-2018,2018-07
43,23650,20540,2960,6730,1290,910,3330,2505,1290,1630,01-08-2018,2018-08
44,9885,7610,1575,1585,850,325,1240,1025,1250,805,01-09-2018,2018-09
45,2680,4980,920,810,405,205,910,610,685,300,01-10-2018,2018-10
46,5035,6225,1075,425,460,310,780,765,545,285,01-11-2018,2018-11
47,23520,4070,1495,410,705,690,960,990,1175,240,01-12-2018,2018-12
48,6940,5495,1950,1185,750,450,865,1190,895,635,01-01-2019,2019-01
49,3500,3985,1170,455,340,255,595,670,420,385,01-02-2019,2019-02
50,5505,5025,1225,485,475,315,675,615,475,700,01-03-2019,2019-03
51,14545,6835,1235,475,550,460,810,760,560,815,01-04-2019,2019-04
52,8240,8965,1360,380,550,325,825,720,615,490,01-05-2019,2019-05
53,4590,8570,1405,540,505,360,865,615,655,370,01-06-2019,2019-06
54,6790,10510,2040,960,750,480,1265,800,875,450,01-07-2019,2019-07
55,38490,21410,3445,7235,1660,1575,3080,2305,2230,1755,01-08-2019,2019-08
56,13180,7565,1495,1950,1090,520,1265,1055,1405,745,01-09-2019,2019-09
57,2900,3790,810,500,320,295,580,620,500,245,01-10-2019,2019-10
58,3105,2695,625,240,260,320,515,535,465,170,01-11-2019,2019-11
59,32565,3105,1200,450,595,1140,810,960,990,185,01-12-2019,2019-12
60,9160,3180,1450,880,550,410,810,780,605,495,01-01-2020,2020-01
61,3005,1905,1025,255,210,220,380,560,340,355,01-02-2020,2020-02
62,3865,1870,645,235,245,200,345,360,295,240,01-03-2020,2020-03
63,5605,4935,790,390,530,250,905,540,590,210,01-04-2020,2020-04
64,6805,8945,1530,520,945,340,2215,555,1120,350,01-05-2020,2020-05
65,3605,4070,695,205,725,285,1310,210,735,160,01-06-2020,2020-06
66,2845,3135,635,270,505,325,715,285,555,155,01-07-2020,2020-07
